Reginalds Tower,620,230,1
Rice Bridge,487,175,0
Medieval Museum,602,232,1
Tower Hotel,617,236,0
Waterford Crystal,606,243,1
City Square,564,237,0
Fitwiltons Hotel,483,187,0
Summer Hill,456,214,0
ALDI,488,219,0
Clock Tower,542,199,1
HyperCentre,439,247,0
Mercy School,468,305,0
Apple Market,558,265,0
NightLife Junction,560,282,0
Tesco,560,334,0
tkMaxx,565,322,0
Polberry Link Road,555,320,0
Bath street,545,337,0
College street,532,325,0
CIT,516,351,0
Ramen,502,373,0
Lidl,491,409,0
McDonalds,473,397,0
Double Tower,555,291,1
French Tower,533,282,1
Bally Bricken,501,237,1
Plunkett Station,496,144,0
Ferrybank Junction,610,162,0
FerryBank chineese,641,154,0
FerryBank Grotto,646,138,0
Hospital,717,394,0
Passage road roundabout,654,343,0
Bilberry,433,150,0
GreenWay,311,89,0
Gracediue,320,158,0
Abbey Community College,653,178,0
CircleK,392,460,0
WIT,329,469,1
Paddy Browns Road,233,481,0
Tesco Lisduggan,320,367,0